SKU,Barcode,Name,Price
613,7804621471491,Atun con aceite Lomitos Antartic 140g,1400
614,7804461000240,Champiñones Laminados SanRemo 400g,1800
615,722008504914,Sardinas en Salsa de tomate Van Camp's 425g,3900
616,722008502910,Sardinas en aceite Van Camp's 425g,3900
617,7809559200120,Harina sin Polvo para hornear Cienll,1500
618,7802615005516,Harina con Polvo para hornear MontBlanc 1kg,1500
619,7802615005615,Harina sin Polvo para hornear MontBlanc 1kg,1500
620,7804627780283,Azúcar Granulado SmartPrice 1kg,1400
621,7802900028374,Leche con chocolate Requetepatitas Soprole 1litro,1800
622,7802900003401,Leche Natural entera Libre de Lactosa Zerolacto Soprole 1litro,1500
623,7802900200817,Leche Natural Semidescremada Libre de Lactosa Zerolacto Soprole 1litro,1500
624,7802900048013,Leche Natural Descremada Libre de Lactosa Zerolacto Soprole 1litro,1500
625,7802575365026,Salsa de Tomate Italiana SanRemo 200g,550
626,7802575353047,Salsa de Tomate Italiana Pomarola 200g,750
627,7802420008627,Te Negro Celan Classic TeClub 40bolsitas,1200
628,7802575040206,Ravioli de Carne Carozzi 400g,3300
629,7802500000015,Fideos Cabellos de Angel 1 Luchetti 400g,1200
630,7802575001849,Fideos Capellini Carozzi 400g,1200
631,7802575004437,Fideos Spaghetti Carozzi 400g,1200
632,7802575004635,Fideos Tallarines 87 Carozzi 400g,1200
633,7802575015662,Lasaña Precocida Carozzi 330g,2200
634,7802575047069,Ravioli Ricotta y Espinaca Carozzi 400g,3300
635,7802575004833,Fideos Fetuccine 88 Carozzi 400g,1200
636,7802575003843,Fideos Granizo Carozzi 250g,1000
637,7802575003249,Fideos Alfabeto Carozzi 250g,1000
638,7802575002853,Fideos Ojos de Diuca Carozzi 250g,1000
639,7802575012197,Fideos Dedalito Carozzi 250g,1000
640,7802575131249,Fideos Mostaccioli Parma 400g,1000
641,7802575131225,Fideos Espirales Parma 400g,1000
642,7802575012210,Fideos Pantrucas Carozzi 400g,1200
643,7802575134028,Fideos Spaghetti 5 Parma 400g,1000
644,7802575134059,Fideos Tallarines 97 Parma 400g,1000
